Directory URL,Branch Name,Branch Type,Name of Library Service,Library Service Type,WiFi Availability,Address Line 1,Address Line 2,Address Locality,Address Postcode,Postal Address Line 1,Postal Address Line 2,Postal Address Locality,Postal Address Postcode,ILL Address Line 1,ILL Address Line 2,ILL Address Line 3,ILL Address Line 4,ILL Address Locality,ILL Address Postcode,Phone,Phone (after hours),Mobile,Email,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Latitude (Decimal),Longitude (Decimal),Branch Manager Title,Branch Manager Personal Title,Branch Manager Name,Branch Manager Phone,Branch Manager Email,Other Staff Member Position Title,Other Staff Member Personal Title,Other Staff Member Name,Other Staff Member Phone,Other Staff Member Email,Date Created,Date Last Updated
https://plconnect.slq.qld.gov.au/directory/gold-coast-city-council/helensvale-library,Helensvale Library,Branch,Gold Coast City Council,Independent Library Service,Yes,Corner Lindfield Drive and Sir John Overall Drive,-,Helensvale,4212,-,-,-,-,Library Technical Services,Gold Coast Libraries,-,PO Box 8435,Bundall BC,4215,-7152,-,-,-,9am-6pm,9am-6pm,9am-6pm,9am-7pm,9am-6pm,9am-4pm,12 noon-4pm,-27.922237,153.334733,Librarian,-,Naomi Brownless,-,nbrownless@goldcoast.qld.gov.au,-,-,-,-,-,11/04/08,16/03/20
https://plconnect.slq.qld.gov.au/directory/gold-coast-city-council/broadbeach-library,Broadbeach Library,Branch,Gold Coast City Council,Independent Library Service,Yes,61 Sunshine Boulevard,-,Mermaid Waters,4218,PO Box 5042,-,Gold Coast Mail Centre,9729,-,-,-,-,-,-,-7082,-,-,-,9am-6pm,9am-6pm,9am-6pm,9am-7pm,9am-6pm,9am-4pm,Closed,-28.035935,153.424051,Librarian,-,Marisa Pavan,-,mpavan@goldcoast.qld.gov.au,-,-,-,-,-,11/04/08,16/03/20
https://plconnect.slq.qld.gov.au/directory/gold-coast-city-council/upper-coomera-library,Upper Coomera Library,Branch,Gold Coast City Council,Independent Library Service,Yes,Corner Reserve and Abraham Roads,-,Upper Coomera,4209,PO Box 5042,-,Gold Coast Mail Centre,9729,-,-,-,-,-,-,-14828,-,-,-,9am-6pm,9am-6pm,9am-6pm,9am-7pm,9am-6pm,9am-4pm,Closed,-27.869458,153.304354,Librarian,-,Donna Antony,-,dantony@goldcoast.qld.gov.au,-,-,-,-,-,24/05/13,16/03/20
https://plconnect.slq.qld.gov.au/directory/gold-coast-city-council/nerang-library,Nerang Library,Branch,Gold Coast City Council,Independent Library Service,Yes,Corner Price and White Streets,-,Nerang,4211,PO Box 5042,-,Gold Coast Mail Centre,9729,-,-,-,-,-,-,-12707,-,-,-,9am-6pm,9am-6pm,9am-6pm,9am-7pm,9am-6pm,9am-1pm,Closed,-27.991318,153.335629,Librarian,-,Jacqueline Walch,-,jwalch@goldcoast.qld.gov.au,-,-,-,-,-,11/04/08,16/03/20
https://plconnect.slq.qld.gov.au/directory/gold-coast-city-council/palm-beach-community-lounge-and-library,Palm Beach Community Lounge and Library,Branch,Gold Coast City Council,Independent Library Service,Yes,Eleventh Avenue,-,Palm Beach,4221,PO Box 5042,-,Gold Coast Mail Centre,9729,-,-,-,-,-,-,-12777,-,-,-,9am-4.30pm,9am-1pm,9am-1pm,9am-1pm,9am-1pm,Closed,Closed,-28.117183,153.467653,Librarian,-,Chris Taylor,-,cctaylor@goldcoast.qld.gov.au,-,-,-,-,-,11/04/08,16/03/20
https://plconnect.slq.qld.gov.au/directory/gold-coast-city-council/runaway-bay-library,Runaway Bay Library,Branch,Gold Coast City Council,Independent Library Service,Yes,Lae Drive,-,Runaway Bay,4216,PO Box 5042,-,Gold Coast Mail Centre,9729,-,-,-,-,-,-,-12747,-,-,-,9am-6pm,9am-6pm,9am-6pm,9am-7pm,9am-6pm,9am-2pm,Closed,-27.91224,153.39854,Librarian,-,Mandy Oliver,-,moliver@goldcoast.qld.gov.au,-,-,-,-,-,11/04/08,16/03/20
https://plconnect.slq.qld.gov.au/directory/bundaberg-regional-council/gin-gin-library,Gin Gin Library,Branch,Bundaberg Regional Council,Independent Library Service,Yes,4 Dear Street,-,GIN GIN,4671,4 Dear Street,-,Gin Gin,4671,49 Woondooma Street,-,-,-,Bundaberg,4670,-8696,-,-,-,Closed,9.30- 12.30pm; 1.30-4pm,9.30am-12.30pm; 1.30-4pm,9.30am-12.30pm; 1.30-6pm,9.30am-12.30pm; 1.30-4pm,9-11.30am,Closed,-24.989775,151.953425,Library Coordinator (Gin Gin),Ms,Sharon Millett,-8696,sharon.millett@bundaberg.qld.gov.au,-,-,-,-,-,11/04/08,16/03/20
https://plconnect.slq.qld.gov.au/directory/bundaberg-regional-council/woodgate-library,Woodgate Library,Branch,Bundaberg Regional Council,Independent Library Service,No,Woodgate Beach Community Centre,1 Kangaroo Court,Woodgate Beach,4660,-,-,-,-,49 Woondooma Street,-,-,-,Bundaberg,4670,-13063,-8216,-,-,Closed,Closed,10am-2pm,Closed,Closed,Closed,Closed,-25.108373,152.565406,Branch Coordinator,-,Bundaberg Regional Libraries,-8216,library@bundaberg.qld.gov.au,-,-,-,-,-,11/04/08,16/03/20
https://plconnect.slq.qld.gov.au/directory/whitsunday-regional-council/collinsville-library,Collinsville Library,Branch,Whitsunday Regional Council,Independent Library Service,Yes,37 Conway Street,-,Collinsville,4804,PO Box 104,-,Proserpine,4800,-,-,-,-,-,-,-10097,-,-,-,8.15am-4.45pm,8.15am-4.45pm,8.15am-4.45pm,8.15am-4.45pm,8.15am-4.45pm,Closed,Closed,-20.552978,147.845408,Team Leader,Mrs,Robyn Batman,-8378,robyn.batman@whitsundayrc.qld.gov.au,-,-,-,-,-,14/04/08,16/03/20
https://plconnect.slq.qld.gov.au/directory/cairns-regional-council/babinda-library,Babinda Library,Branch,Cairns Regional Council,Independent Library Service,Yes,24 Munro Street,-,Babinda,4861,-,-,-,-,-,-,-,-,-,-,-12413,-,-,-,9am-12:30pm; 1:30-5pm,9am-12:30pm; 1:30-5pm,9am-12:30pm; 1:30-5pm,9am-12:30pm; 1:30-5pm,9am-12:30pm; 1:30-5pm,9am-12 noon,Closed,-17.344195,145.923834,Branch Supervisor,-,Holly Goriss,-,h.goriss@cairns.qld.gov.au,-,-,-,-,-,11/04/08,16/03/20
https://plconnect.slq.qld.gov.au/directory/brisbane-city-council/annerley-library,Annerley Library,Branch,Brisbane City Council,Independent Library Service,Yes,450 Ipswich Road,-,Annerley,4103,-,-,-,-,-,-,-,-,-,-,-5084,-,-,-,10am-5pm,10am-5pm,Closed,Closed,10am-5pm,9am-4pm,Closed,-27.509441,153.033381,Team Leader,-,Robyn Gattera,-,-,-,-,-,-,-,10/04/08,16/03/20
https://plconnect.slq.qld.gov.au/directory/brisbane-city-council/ashgrove-library,Ashgrove Library,Branch,Brisbane City Council,Independent Library Service,Yes,87 Amarina Avenue,-,Ashgrove,4060,-,-,-,-,-,-,-,-,-,-,-5293,-,-,-,10am-6.pm,10am-8pm,10am-6pm,10am-8pm,10am-6pm,9am-4pm,Closed,-27.4443946,152.987098,Team Leader,-,Julie Tree,-,-,-,-,-,-,-,10/04/08,16/03/20
https://plconnect.slq.qld.gov.au/directory/cairns-regional-council/earlville-library,Earlville Library,Branch,Cairns Regional Council,Independent Library Service,Yes,Shop 128 Stockland,-,Cairns,4870,-,-,-,-,-,-,-,-,-,-,-7756,-,-,-,9am-5:30pm,9am-5:30pm,9am-5:30pm,9am-5:30pm,9am-5:30pm,9am-12 noon,Closed,-16.944545,145.740037,Branch Librarian,-,Kathy Krivan,-7742,k.krivan@cairns.qld.gov.au,-,-,-,-,-,11/04/08,16/03/20
https://plconnect.slq.qld.gov.au/directory/cairns-regional-council/city-library,City Library,Branch,Cairns Regional Council,Independent Library Service,Yes,151 Abbott Street,-,Cairns,4870,PO Box 359,-,Cairns,4870,-,-,-,-,-,-,-7710,-,-,-,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-12 noon,9am-12 noon,-16.920195,145.775372,Branch Librarian,-,Karen Maguire,-7423,k.maguire@cairns.qld.gov.au,-,-,-,-,-,11/04/08,16/03/20
https://plconnect.slq.qld.gov.au/directory/brisbane-city-council/bracken-ridge-library,Bracken Ridge Library,Branch,Brisbane City Council,Independent Library Service,Yes,77 Bracken Street,-,Bracken Ridge,4017,-,-,-,-,-,-,-,-,-,-,-9673,-,-,-,Closed,10am-8pm,10am-8pm,10am-6pm,10am-5pm,9am-4pm,Closed,-27.317972,153.037873,Team Leader,-,Fiona Watkin,-,-,-,-,-,-,-,10/04/08,16/03/20
https://plconnect.slq.qld.gov.au/directory/cairns-regional-council/edmonton-library,Edmonton Library,Branch,Cairns Regional Council,Independent Library Service,Yes,175 Bruce Highway,-,Edmonton,4868,-,-,-,-,-,-,-,-,-,-,-7725,-,-,-,9.30am-12.30pm; 1:30-5.30pm,9.30am-12.30pm; 1:30-5.30pm,9:30am-12.30pm; 1.30-5.30pm,9.30am-12.30pm; 1.30-5.30pm,9.30am-12.30pm; 1.30-5.30pm,9am-12 noon,Closed,-17.01743,145.74354,Branch Librarian,-,Sal Goeldner,-,s.goeldner@cairns.qld.gov.au,-,-,-,-,-,11/04/08,16/03/20
https://plconnect.slq.qld.gov.au/directory/brisbane-city-council/banyo-library,Banyo Library,Branch,Brisbane City Council,Independent Library Service,Yes,284 St Vincents Road,-,Banyo,4014,-,-,-,-,-,-,-,-,-,-,-5549,-,-,-,Closed,12 noon-6pm,10am-5pm,10am-6pm,12 noon-5pm,9am-4pm,Closed,-27.374268,153.0759544,Team Leader,-,Christine Sturgess,-,-,-,-,-,-,-,10/04/08,16/03/20
https://plconnect.slq.qld.gov.au/directory/cairns-regional-council/gordonvale-library,Gordonvale Library,Branch,Cairns Regional Council,Independent Library Service,Yes,88 Norman Street,-,Gordonvale,4865,-,-,-,-,-,-,-,-,-,-,-7768,-,-,-,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-12 noon,Closed,-17.093179,145.786004,Branch Librarian,-,Beth Thomas,-,b.thomas@cairns.qld.gov.au,-,-,-,-,-,11/04/08,16/03/20
https://plconnect.slq.qld.gov.au/directory/brisbane-city-council/bulimba-library,Bulimba Library,Branch,Brisbane City Council,Independent Library Service,Yes,219 Oxford Street,-,Bulimba,4171,-,-,-,-,-,-,-,-,-,-,-11576,-,-,-,Closed,9am-5pm,1pm-8pm,9am-5pm,9am-5pm,9am-4pm,Closed,-27.4520827,153.06286,Team Leader,-,Russell Woodford,-,-,-,-,-,-,-,10/04/08,16/03/20
https://plconnect.slq.qld.gov.au/directory/cairns-regional-council/manunda-library,Manunda Library,Branch,Cairns Regional Council,Independent Library Service,Yes,Raintrees Shopping Centre,-,Manunda,4870,-,-,-,-,-,-,-,-,-,-,-7769,-,-,-,9am-5.30pm,9am-5.30pm,9am-5.30pm,9am-5.30pm,9am-5.30pm,9am-12 noon,Closed,-16.926743,145.74096,Branch Librarian,-,Ros Ingham,-,r.ingham@cairns.qld.gov.au,-,-,-,-,-,11/04/08,16/03/20
https://plconnect.slq.qld.gov.au/directory/cairns-regional-council/smithfield-library,Smithfield Library,Branch,Cairns Regional Council,Independent Library Service,Yes,70 Cheviot Street,-,Smithfield,4878,-,-,-,-,-,-,-,-,-,-,-7701,-,-,-,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-12 noon,Closed,-16.815474,145.69415,Branch Librarian,-,Sivan Bolger,-7726,s.bolger@cairns.qld.gov.au,-,-,-,-,-,11/04/08,16/03/20
